Title,Authors,Dates Read,Moods,Star Rating,,
The Electric Kool-Aid Acid Test,Tom Wolfe,"2023/10/15-2023/10/17, 2022/09/08-2022/09/17",,5,,
Brave New World,Aldous Huxley,2022/11/25-2022/12/06,,3.5,,
I Am Not Sidney Poitier,Percival Everett,2025/07/25-2025/08/31,"funny, lighthearted",3.5,,
Rapture,Emily Maguire,2025/06/20-2025/06/21,"adventurous, emotional, inspiring, reflective",4,,
"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures",Merlin Sheldrake,2022/04/21-2022/05/01,,2.5,,
Elektra,Jennifer Saint,2023/10/03-2023/10/06,,2,,
Keith Haring Journals,Keith Haring,2025/07/30-2025/07/31,"challenging, emotional, funny, hopeful, informative, inspiring, reflective, sad",5,,
Paradise Rot,Jenny Hval,2022/08/26-2022/08/28,,4.5,,
Dance Dance Dance,Haruki Murakami,"2025/01/05-2025/01/11, 2022/03/12-2022/03/14","adventurous, dark, mysterious, reflective",4,,
"The Mandibles: A Family, 2029–2047",Lionel Shriver,2024/07/17-2024/07/24,,1.5,,
The Annual Banquet of the Gravediggers' Guild,Mathias Énard,2024/01/11-2024/01/19,,5,,
A Passage North,Anuk Arudpragasam,2024/10/28-2024/11/02,,4.5,,
If Beale Street Could Talk,James Baldwin,2024/05/22-2024/05/25,,4.5,,
"They Shoot Horses, Don't They?",Horace McCoy,2022/07/12-2022/07/12,,4.5,,
Cocaine Nights,J.G. Ballard,2025/01/01-2025/01/05,"mysterious, relaxing",2,,
The Fraud,Zadie Smith,2025/07/17-2025/07/22,"emotional, informative, reflective",3,,
The Murder of Roger Ackroyd,Agatha Christie,2024/11/02-2024/11/03,,3.5,,
The Thousand Autumns of Jacob de Zoet,David Mitchell,2022/01/15-2022/01/25,,2,,
The Return of the King,J.R.R. Tolkien,2024/05/08-2024/05/22,,4.5,,
Crush,Richard Siken,2023/10/11-2023/10/15,,5,,
C+nto & Othered Poems,Joelle Taylor,2024/08/05-2024/08/05,,5,,
Mourning Becomes Electra,Eugene O'Neill,2023/12/21-2023/12/23,,4.5,,
Dr. Faustus,Christopher Marlowe,2023/07/25-2023/07/25,,3,,
Crime and Punishment,"Fyodor Dostoevsky, Charles W. Goddard",2023/05/11-2023/05/24,,3.5,,
The Fish Can Sing,Halldór Laxness,2024/08/05-2024/08/11,,3,,
The Collector,John Fowles,2022/06/19-2022/06/23,,4,,
Piranesi,Susanna Clarke,2022/12/06-2022/12/08,,4,,
The Land in Winter,Andrew Miller,2025/09/08-2025/09/16,"adventurous, dark, emotional, hopeful, reflective, sad, tense",4,,
Brideshead Revisited,Evelyn Waugh,2024/11/03-2024/11/14,,4.5,,
Shades of Grey,Jasper Fforde,2024/03/30-2024/04/02,,4.5,,
The Little Friend,Donna Tartt,2025/08/14-2025/08/21,"adventurous, challenging, dark, emotional, mysterious, tense",4.5,,
Geek Love,Katherine Dunn,"2023/07/01-2023/07/25, 2022/04/19-2022/04/21",,5,,
Hamlet,William Shakespeare,2022/12/25-2022/12/28,,4.5,,
Infinite Jest,David Foster Wallace,2025/02/06-2025/03/28,"challenging, funny, reflective",5,,
Utopia Avenue,David Mitchell,2022/08/30-2022/09/07,,5,,
Pereira Maintains,Antonio Tabucchi,2025/08/25-2025/08/28,"dark, hopeful, informative, inspiring, mysterious, tense",3.5,,
The Empusium,Olga Tokarczuk,2025/01/27-2025/02/02,"adventurous, inspiring, mysterious",4.5,,
The Complete Plays of Jean Racine: Volume 3: Iphigenia,Jean Racine,2023/12/16-2023/12/18,,3,,
"Gargantua and Pantagruel, Book 1","Jiska Cohen-Mansfield, François Rabelais",2025/04/14-2025/04/19,"challenging, funny, lighthearted",1,,
Our Share of Night,Mariana Enríquez,2023/08/23-2023/09/03,,2.5,,
The Name of the Rose,Umberto Eco,2024/06/27-2024/07/17,,4,,
Do Androids Dream of Electric Sheep?,Philip K. Dick,2023/06/02-2023/06/04,,5,,
Toad,Katherine Dunn,2024/09/16-2024/09/28,,3,,
The Unbearable Lightness of Being,Milan Kundera,2024/09/10-2024/09/16,,3,,
Goodbye to Berlin,Christopher Isherwood,2023/10/06-2023/10/09,,3,,
Hurricane Season,Fernanda Melchor,2025/10/24-2025/11/04,"adventurous, challenging, dark, mysterious",5,,
The Deserters,"Mathias Énard, Mathias Énard",,"adventurous, challenging, dark, emotional, tense",2.5,,
The Doloriad,Missouri Williams,2022/08/28-2022/08/30,,3,,
Arcadia,Tom Stoppard,2023/12/19-2023/12/19,,5,,
Talking Heads,Alan Bennett,2022/03/06-2022/03/06,,4,,
The Prague Cemetery,Umberto Eco,2025/01/18-2025/01/27,"adventurous, challenging, dark, funny, mysterious",3,,
Cain,José Saramago,2024/11/29-2024/11/30,,4.5,,
The Snow Hare,Paula Lichtarowicz,,,,,
Balancing Acts: Behind the Scenes at London's National Theatre,Nicholas Hytner,"2023/12/07-2023/12/16, 2022/08/15-2022/08/24",,3.5,,
